,travel_1,comserexp_1,pop_1,real_gni_pc_1,real_travel_mil_1,rtrend_dev_travel_1,r1,arrivals_2,travel_2,comserexp_2,mega_past_2,pop_2,real_gni_pc_2,real_travel_mil_2,rtrend_dev_travel_2,r2,diff_gni
0,,,2401.108,,,,0,60000.0,68.33573,1481071121.72479,0.0,3137.503,3084.4785,1044.0813,197.28113,1,
1,,,26081.88,47914773000000.0,,,0,4173000.0,42.48972,7871069948.20535,1.0,39120.46,5868.0776,3818.1267,-472.82642,1,-47914772994131.92
2,,,2834.136,,,,0,381000.0,56.98034,475129487.524005,0.0,3007.195,2001.7428,282.2566,41.98546,1,
3,21.261448,1846513176.13889,13624.51,31932.09,2135.6716,2889.3245,1,5064000.0,55.040024,32438324165.6453,1.0,20520.94,34727.45,18681.107,1337.498,1,2795.359999999997
4,76.446526,3638085145.99198,7578.903,11325.734,6953.425,-1882.3799,1,20261000.0,36.147488,45674951139.8043,1.0,8240.029,40284.184,16889.434,46.63672,1,28958.45
5,,,5696.117,,,,0,903000.0,13.896626,841492000.0,0.0,8474.402,2286.5981,141.47752,18.751495,1,
6,,,3664.093,1529.358,,,0,201000.0,23.505718,5575281.1282674,0.0,7833.158,119.10522,1.4189869,3.7204971,1,-1410.25278
7,17.626509,4889857545.77144,9800.7,15726.19,2390.5784,1035.4851,1,6995000.0,18.023108,57209122287.4169,0.0,10485.71,39423.47,10479.245,689.7842,1,23697.28
8,11.285772,23153062.6112555,2995.605,968.8193,14.064035,-1.8830118,1,180000.0,59.1686,196488704.053834,0.0,8693.272,586.3476,119.59394,-20.401222,1,-382.47169999999994
9,38.95548,5449975.23779653,6198.843,504.93567,8.246237,3.2475262,1,264000.0,,,0.0,13586.49,435.71136,,,0,-69.22431
10,,,76253.31,982.38385,,,0,200000.0,13.331985,602577704.237322,0.0,144345.1,480.53903,85.787506,15.4555435,1,-501.84482
11,,,8720.742,,,,0,5158000.0,49.398945,5286995892.96285,0.0,7699.02,4206.213,2816.7822,-47.5791,1,
12,,,3980.0,,,,0,256000.0,53.397312,1136566308.52377,1.0,3908.458,3527.5579,642.901,11.329468,1,
13,,,9360.184,,,,0,89000.0,12.027896,2380300000.0,0.0,9715.95,3916.683,323.1546,859.5125,1,
14,,,4914.316,434639800.0,,,0,521000.0,52.867092,461722000.0,0.0,9344.741,1414.6561,274.06042,111.19287,1,-434638385.3439
15,7.2597136,978000000.0,108823.734,2648343100000000.0,,,0,5017000.0,24.0497,17945691406.5288,0.0,188694.4,4999.8887,4476.9595,222.23926,1,-2648343099995000.0
16,,,2031.484,1091.185,,,0,14000.0,,,0.0,4095.143,346.72385,,,0,-744.4611499999999
17,42.18703,4008037603.47167,23142.27,21330.932,5506.546,1927.4355,1,18265000.0,24.890398,59014527549.8155,1.0,32556.46,35466.48,14125.96,768.3076,1,14135.548000000003
18,,,6338.65,15056.336,,,0,7863000.0,20.040573,53929241778.2604,0.0,7441.475,59631.46,10962.421,148.41992,1,44575.123999999996
19,34.599155,237000000.0,10251.542,464821.7,38500.383,30342.637,1,2253000.0,15.703864,7726124000.0,0.0,16451.84,7240.7666,1275.0686,2181.796,1,-457580.93340000004
20,,,917898.56,815.10675,,,0,49913000.0,37.134975,91420551758.5916,0.0,1311798.0,2159.675,36477.02,5684.994,1,1344.5682500000003
21,21.428572,176377623.278004,6888.884,3226.0613,254.0201,28.40364,1,,13.176279,706266944.453885,0.0,18467.84,862.7882,95.5843,31.367943,0,-2363.2731
22,,,7521.53,1632.8862,,,0,185000.0,32.591526,555751571.236029,0.0,16682.77,1000.16644,184.85516,69.08754,1,-632.71976
23,,,1360.185,3115.9873,,,0,,18.03653,251295630.926728,0.0,4105.128,1326.3721,41.748493,7.1719055,0,-1789.6151999999997
24,41.76076,419053650.0,24114.178,158312.27,56540.098,13370.086,1,1053000.0,47.075474,3301412726.8162,0.0,45556.0,3582.5269,1628.013,10891.21,1,-154729.7431
25,,,1991.58,169810.27,,,0,1725000.0,58.88613,2940465640.87365,0.0,4387.86,5497.677,1892.5195,1310.6082,1,-164312.593
26,,,9997.398,,,,0,6435000.0,39.84345,13906149813.7958,0.0,10218.43,13252.724,5741.1436,353.95264,1,
27,23.566402,3154784108.5196,5059.863,24315.555,2710.3245,484.30615,1,4716000.0,,51960557772.1127,0.0,5428.524,53351.914,,,0,29036.358999999997
28,53.846153,109200000.0,5048.499,52333.66,5305.5503,-6308.2427,1,3965000.0,87.111626,4496300000.0,0.0,9614.0,3583.259,4140.0913,-364.1079,1,-48750.401000000005
29,,,16140.252,42263.652,,,0,1638000.0,,,0.0,33347.95,3321.2341,,,0,-38942.4179
30,,,6871.698,2063.3416,,,0,841000.0,51.094006,958820917.346814,0.0,13412.92,3123.6907,524.07404,-137.73328,1,1060.3491
31,,,36952.5,6589.857,,,0,8646000.0,47.940784,15833700000.0,0.0,75396.91,1452.6385,8547.82,2126.4277,1,-5137.2185
32,64.90362,5354131473.65354,35595.99,29351.633,,,0,58190000.0,48.452972,105869604177.733,1.0,43546.3,28233.66,52877.008,819.1094,1,-1117.9730000000018
33,,,33262.453,,,,0,290000.0,18.203075,889922380.561092,0.0,72711.51,221.99054,189.26825,36.68068,1,
34,30.675268,1072225243.50464,4711.431,21406.229,1383.2375,275.46802,1,3375000.0,13.667664,17414333133.9062,0.0,5255.05,42396.145,2439.7593,344.41382,1,20989.915999999997
35,19.237282,17477028097.1896,52699.17,21788.176,13175.205,5222.981,1,78853000.0,37.09239,125394963867.449,1.0,61037.51,37583.848,47658.11,2186.9922,1,15795.671999999999
36,16.683617,16002047685.6687,55426.0,21583.58,16185.989,1325.8809,1,30654000.0,14.679587,230849533288.983,0.0,60360.8,41915.133,34933.84,3935.6914,1,20331.553
37,,,4897.656,,,,0,983000.0,39.02379,800975427.853868,0.0,4436.486,1830.9954,342.70416,23.63382,1,
38,27.846102,8975383445.87117,78673.56,11127.736,5112.4062,2147.7217,1,23569000.0,17.81851,184573940013.665,0.0,82411.44,37550.047,33494.93,4409.088,1,26422.310999999998
39,1.8423746,84956988.9990959,10118.561,2337153.8,14632.695,10471.118,1,497000.0,68.55813,1256350000.0,0.0,22532.6,591.97394,980.5479,1812.9136,1,-2336561.82606
40,,,4053.173,,,,0,46000.0,,,0.0,9199.0,469.53195,,,0,
41,,,9046.543,111308.61,,,0,16039000.0,40.372906,35671365910.5732,1.0,11112.99,24463.738,14815.65,7187.811,1,-86844.872
42,,,6179.958,12774.792,,,0,1502000.0,65.14453,1410119028.61227,0.0,12902.48,2405.551,982.1228,336.0594,1,-10369.241
43,39.738808,26800000.0,3152.187,9415.634,313.36407,-10.987366,1,739000.0,72.80804,670724854.873297,0.0,7354.979,1572.9335,522.5367,91.604645,1,-7842.7005
44,,,4263.295,,,,0,8659000.0,73.97295,10801322909.8937,0.0,4437.666,11091.176,8313.239,323.0703,1,
45,95.15151,23100000.00462,4839.4,7810.1113,1320.5095,-1332.6238,1,,90.85477,148930000.0,0.0,8646.85,584.9438,161.52805,299.73468,0,-7225.1675
46,,,10531.82,27056.021,,,0,9259000.0,32.026047,13283486354.7854,0.0,10056.25,11669.841,4505.0415,-241.46582,1,-15386.18
47,,,136823.61,9694.055,,,0,4871000.0,40.098377,11092672606.3114,0.0,223041.6,1569.1088,4949.9062,-7837.96,1,-8124.9462
48,27.385658,719431435.740186,620535.0,1572.8475,1936.7754,-2875.1558,1,4447000.0,11.9029455,75056988775.114,0.0,1109811.0,860.0789,9370.656,3705.2178,1,-712.7686000000001
49,47.408596,550613569.967514,3177.266,19064.057,1816.2213,1102.4338,1,8001000.0,7.819965,68659526183.8433,0.0,4209.447,45966.562,5486.9146,718.01807,1,26902.504999999997
50,,,33206.0,412487.03,,,0,2735000.0,,,0.0,69152.54,3565.685,,,0,-408921.34500000003
51,31.306715,1102000000.0,3354.242,76308890.0,,,0,1825000.0,14.452814,19210100000.0,0.0,7038.596,20869.602,2769.7114,278.07715,1,-76288020.398
52,41.08688,7948233307.74105,55441.01,36073.85,34047.89,4656.6895,1,41058000.0,39.215603,97554352493.8611,1.0,58571.0,32816.637,39122.797,2735.3555,1,-3257.212999999996
53,53.68421,207947883.386417,1802.96,,458.29565,-506.26184,0,3225000.0,72.2882,2850211565.58533,0.0,5586.0,2864.1792,2153.7444,794.0791,1,
54,,,111524.0,6218.0,,,0,7334000.0,7.3563747,115139753427.338,1.0,127564.9,38459.18,8415.2295,688.4419,1,32241.18
55,,,14157.075,,,,0,3468000.0,32.428917,2583793813.61647,0.0,15308.08,4459.346,967.9974,-77.895935,1,
56,35.74104,254521420.778951,13614.685,4808.608,2083.011,-778.6301,1,1644000.0,34.187916,2010911939.70334,0.0,35143.19,606.9968,719.48895,184.40656,1,-4201.6112
57,,,3300.684,,,,0,766000.0,47.517647,351404746.773133,0.0,5199.756,567.4199,189.49472,-24.460587,1,
58,,,23209.2,,,,0,1591000.0,77.45575,1243571341.94839,0.0,14350.86,532.5911,1026.0022,113.17474,1,
59,,,35280.9,6202.3145,,,0,6155000.0,11.962818,48381575826.3092,1.0,48418.08,19344.229,5908.2065,-1820.5835,1,13141.914499999999
60,,,3161.118,,,,0,842000.0,,223500000.0,0.0,5765.0,547.8512,,,0,
61,,,1624.362,53843.24,,,0,,86.8351,143219301.693367,0.0,3380.128,139.15407,144.21536,36.36831,0,-53704.08593
62,26.382978,67074185.9622,13660.275,6844.4062,526.60767,-486.1969,1,560000.0,25.584585,1603700000.0,0.0,19771.32,1539.3722,467.8551,29.813019,1,-5305.034000000001
63,,,3305.195,,,,0,2180000.0,28.972523,3582803132.45093,0.0,3396.863,9152.033,1129.616,64.09546,1,
64,72.78609,406828316.453412,17687.377,2340.2605,1474.4359,1001.8933,1,6558000.0,64.559746,9268780098.29098,0.0,30496.55,2251.798,6209.464,2298.7163,1,-88.46250000000009
65,,,3846.519,,,,0,13000.0,23.736195,470800000.0,0.0,3843.0,1147.6128,129.54115,2.8441162,1,
